completed,dropped,mean_score,gender
2,887,60,7.36,Male
5,594,12,5.42,Male
6,433,0,5.36,Female
7,227,9,7.96,Female
8,430,11,7.68,Non-Binary
9,700,86,5.48,Male
10,531,0,6.79,Male
11,134,14,6.13,Female
13,227,27,7.51,Male
14,243,81,6.17,Male
15,803,0,7.8,Male
16,475,9,6.94,Female
17,118,16,7.5,Male
18,358,5,8.07,Male
19,223,4,7.67,Male
21,849,0,6.3,Male
22,139,23,7.0,Male
23,239,0,7.74,Female
24,104,14,7.49,Female
25,181,7,7.81,Male
26,77,0,7.83,Male
27,227,6,7.15,Male
29,103,13,5.87,Male
31,15,2,7.41,Male
32,140,0,7.79,Male
33,62,7,6.63,Female
34,274,36,6.95,Male
37,414,25,8.43,Male
39,658,3,7.51,Male
40,449,59,7.74,Male
41,223,0,7.18,Male
42,259,6,7.68,Male
43,409,10,5.27,Male
45,367,10,6.56,Male
47,443,18,5.08,Male
50,219,0,8.18,Female
51,173,0,7.26,Male
52,234,19,7.19,Male
53,696,80,6.49,Male
54,220,16,8.51,Female
55,53,0,9.12,Male
56,715,1,7.57,Male
57,360,134,7.01,Male
58,233,5,7.78,Male
59,264,5,7.35,Male
60,107,15,6.13,Male
61,187,10,7.44,Female
62,257,16,7.51,Female
63,484,2,7.26,Male
64,307,40,6.1,Male
65,225,1,7.94,Male
67,263,23,7.59,Male
68,322,5,8.48,Male
71,489,15,6.74,Female
72,98,11,7.18,Male
73,711,22,7.34,Female
74,416,39,5.03,Male
75,206,8,8.37,Male
76,116,2,8.04,Male
78,815,0,6.12,Female
79,220,5,9.36,Female
80,279,13,6.27,Male
81,314,0,7.33,Male
83,137,43,8.32,Male
84,170,29,6.49,Male
86,269,17,7.85,Female
88,139,68,6.37,Male
90,613,91,6.12,Male
91,454,28,6.54,Male
92,251,4,7.16,Male
95,353,18,7.14,Male
96,238,1,6.43,Male
97,144,2,9.47,Male
99,99,1,8.72,Male
100,191,1,6.82,Male
102,458,4,7.76,Male
104,225,134,6.77,Male
106,346,40,5.97,Male
108,676,47,6.27,Male
110,92,13,8.05,Female
112,320,3,7.3,Female
113,221,5,6.83,Female
114,266,0,7.71,Female
116,365,8,7.3,Female
118,719,26,8.38,Male
119,314,6,7.0,Female
120,383,86,5.99,Male
121,56,20,7.88,Female
122,53,0,8.1,Female
124,263,48,7.55,Female
125,299,31,7.22,Male
126,217,5,6.62,Female
128,231,0,7.89,Male
129,650,103,6.09,Male
130,237,0,7.8,Male
131,503,6,6.96,Male
133,325,2,8.42,Male
134,168,16,8.68,Male
136,185,26,7.73,Male
137,233,2,7.14,Male
138,225,0,7.2,Female
140,105,4,7.1,Male
141,471,0,8.51,Male
146,177,1,7.62,Female
147,599,0,5.16,Male
150,416,25,6.96,Male
151,120,0,6.85,Female
152,104,2,7.7,Male
153,98,5,7.24,Male
155,444,16,7.16,Male
158,84,1,7.06,Male
159,108,1,7.78,Male
161,381,26,7.12,Female
162,740,108,6.88,Male
164,56,6,7.48,Female
165,349,29,7.06,Male
166,369,71,7.2,Male
167,372,151,5.79,Male
168,412,0,6.66,Male
169,919,3,6.3,Male
170,111,12,6.44,Male
171,732,0,6.19,Female
172,376,42,6.69,Male
174,276,31,7.0,Male
175,235,29,8.32,Male
177,991,20,7.25,Male
179,180,0,8.52,Male
180,153,17,6.52,Female
182,294,36,6.99,Male
183,257,0,6.56,Male
184,656,135,6.62,Male
187,245,110,8.26,Male
188,577,20,7.11,Female
189,268,11,5.89,Female
190,77,1,7.44,Female
191,196,20,7.3,Male
193,230,1,9.15,Female
194,262,6,7.99,Female
195,454,37,5.16,Male
197,246,0,8.6,Female
198,56,10,7.0,Female
199,100,0,7.46,Male
200,51,19,6.46,Male
202,252,0,8.4,Female
203,222,14,6.91,Male
204,150,2,7.91,Non-Binary
205,686,0,6.83,Male
207,612,13,8.39,Female
208,536,259,6.67,Male
209,241,53,7.55,Female
210,397,123,7.66,Male
213,256,2,6.48,Male
215,104,17,5.94,Male
218,83,4,7.58,Male
219,157,13,7.75,Female
220,405,21,7.82,Male
221,135,9,6.91,Female
223,94,21,5.77,Male
225,144,0,7.64,Female
227,851,50,5.57,Male
230,436,15,7.07,Female
231,254,1,7.99,Female
232,169,0,6.62,Female
233,444,23,7.0,Female
234,306,10,7.2,Male
235,514,37,8.2,Female
236,167,81,6.24,Male
237,119,2,7.55,Male
238,379,29,7.65,Male
239,306,0,7.76,Male
240,102,0,8.79,Female
241,258,24,6.39,Male
242,169,8,8.02,Female
243,81,0,8.05,Male
244,65,32,7.28,Male
245,407,12,6.86,Male
246,277,107,6.44,Male
247,173,14,8.36,Male
249,483,96,5.77,Female
250,165,18,6.93,Male
251,267,48,5.6,Non-Binary
252,54,0,8.41,Female
254,56,2,7.62,Male
255,130,10,8.15,Female
256,397,7,7.64,Male
257,201,1,8.28,Male
258,145,2,7.01,Male
259,153,4,6.8,Male
260,208,8,6.4,Male
261,58,1,7.41,Male
262,322,32,7.23,Male
264,76,0,5.81,Male
265,398,3,7.86,Male
266,91,4,8.62,Female
267,450,24,7.88,Male
268,50,9,7.52,Male
270,221,1,7.7,Male
272,141,0,8.55,Male
273,397,34,6.31,Male
274,444,0,7.84,Male
275,329,7,8.53,Female
276,205,6,8.13,Female
277,237,0,7.05,Male
278,116,12,7.37,Male
279,159,33,7.34,Male
280,114,11,8.26,Male
281,141,0,7.48,Male
282,465,2,7.39,Male
283,78,1,8.23,Male
284,838,13,7.16,Female
285,527,0,8.58,Female
286,413,16,7.31,Male
287,112,6,7.82,Male
288,155,22,7.07,Female
289,170,44,5.9,Female
292,246,0,8.05,Female
293,238,1,7.04,Female
294,273,7,7.44,Female
295,281,17,8.26,Male
296,222,63,5.58,Female
297,93,8,6.33,Male
298,55,3,8.6,Female
299,341,42,7.76,Male
300,366,42,5.85,Male
301,137,4,5.16,Male
302,249,22,6.51,Male
303,742,187,5.97,Male
306,713,1,7.12,Male
307,238,0,8.21,Male
308,117,13,5.89,Male
310,215,9,7.73,Female
312,63,5,8.0,Male
314,651,299,6.07,Male
316,184,1,6.96,Male
317,258,3,6.95,Male
319,332,0,7.28,Non-Binary
320,192,0,7.1,Female
321,82,1,7.83,Female
322,362,24,6.33,Male
323,252,11,6.84,Male
324,185,26,6.53,Female
325,394,7,7.27,Male
327,83,0,9.54,Male
328,52,0,7.83,Male
329,53,0,7.58,Male
332,515,6,7.5,Male
333,887,20,6.46,Female
334,340,0,7.74,Male
335,144,17,6.69,Male
337,370,86,6.63,Female
338,106,1,7.73,Female
340,294,60,6.37,Male
341,202,16,7.37,Female
342,174,3,8.24,Male
343,142,10,5.9,Male
344,101,0,8.09,Male
345,150,11,7.88,Male
346,468,14,7.32,Female
347,956,43,7.43,Male
348,457,0,6.52,Male
349,328,9,7.69,Male
352,92,4,8.59,Male
353,723,6,6.73,Male
355,251,2,7.74,Male
356,247,0,8.14,Male
358,452,104,5.83,Male
361,396,1,8.49,Male
362,177,1,8.06,Male
363,70,1,9.09,Female
364,650,23,7.64,Male
365,171,23,7.48,Male
367,221,35,7.13,Female
368,626,0,8.54,Female
369,131,0,8.08,Male
372,475,61,6.09,Male
374,52,0,8.77,Male
375,211,63,6.97,Male
376,275,37,7.0,Male
377,200,7,7.25,Female
380,427,1,6.93,Male
381,147,3,7.88,Male
383,136,13,7.11,Male
384,479,12,6.76,Male
386,140,56,6.38,Male
388,183,2,7.58,Male
389,246,9,7.82,Male
390,142,16,6.44,Female
391,181,12,7.57,Male
392,405,28,5.34,Male
393,502,24,6.45,Male
394,238,15,6.54,Female
395,928,0,9.23,Male
396,79,13,8.08,Male
398,239,17,7.49,Male
399,982,0,6.1,Male
401,36,4,7.27,Male
402,307,27,6.88,Male
403,180,18,7.77,Male
404,93,2,8.13,Male
405,326,26,5.61,Male
409,221,2,8.32,Non-Binary
411,158,4,7.55,Male
412,179,11,6.92,Male
413,319,102,6.28,Male
415,331,22,6.8,Male
418,404,3,6.25,Male
419,375,8,6.91,Female
420,559,25,7.23,Male
421,689,115,5.58,Male
424,183,4,7.71,Male
425,304,8,6.27,Male
426,396,85,5.94,Male
428,288,3,8.19,Female
429,136,11,7.22,Female
430,193,0,7.93,Male
431,998,171,6.11,Female
432,291,11,6.99,Male
433,201,3,8.72,Male
434,141,21,8.85,Male
435,403,38,5.78,Female
436,578,0,8.44,Male
438,162,4,6.84,Male
440,138,1,8.63,Male
441,788,7,7.67,Female
443,981,14,7.58,Female
445,568,13,7.49,Male
446,51,0,7.8,Male
447,510,11,7.76,Male
448,411,54,5.75,Male
451,305,0,7.07,Male
453,875,0,7.48,Male
455,405,0,7.84,Male
456,418,16,7.0,Male
457,198,11,6.57,Male
458,67,15,7.57,Male
459,656,0,6.89,Female
460,526,3,5.83,Female
462,889,57,6.76,Male
463,284,44,8.26,Female
464,133,2,7.39,Male
465,816,0,7.45,Male
467,539,41,6.96,Female
470,485,17,7.79,Male
471,281,4,8.74,Male
474,125,58,6.67,Male
475,346,48,6.63,Male
477,177,3,7.3,Male
481,574,15,6.8,Male
482,196,6,6.55,Female
483,321,0,8.3,Male
484,252,19,8.07,Female
485,208,21,7.59,Female
486,274,54,5.89,Male
488,328,8,6.63,Male
489,466,2,7.52,Female
490,490,0,6.43,Male
491,295,14,6.92,Male
492,596,215,5.85,Male
493,593,2,7.98,Female
494,126,12,6.57,Male
497,158,17,6.44,Male
498,238,15,8.69,Male
500,364,12,6.67,Male
502,193,6,6.71,Male
505,749,0,7.93,Male
507,189,19,8.39,Male
508,274,0,8.35,Male
509,462,0,7.45,Male
511,233,20,7.07,Female
513,65,0,9.28,Male
519,471,19,7.14,Male
520,271,2,7.45,Male
521,211,23,7.58,Female
522,413,147,5.17,Male
523,424,54,5.68,Male
524,149,1,8.57,Male
527,168,3,8.74,Male
528,488,67,5.09,Male
529,600,0,6.64,Female
530,31,10,5.75,Male
532,97,23,7.19,Male
533,387,5,7.11,Male
534,182,41,7.2,Male
535,204,92,8.19,Male
536,816,4,7.46,Male
537,64,1,7.86,Male
538,313,0,8.07,Female
540,170,14,6.96,Male
543,709,8,8.18,Male
544,971,60,6.86,Male
545,198,5,7.78,Female
547,767,0,7.49,Male
548,339,32,6.66,Male
549,192,0,7.42,Female
551,546,97,5.54,Male
552,500,150,5.73,Male
553,94,54,6.47,Male
554,123,4,7.25,Male
555,293,77,6.48,Male
557,302,25,5.51,Male
558,554,33,6.34,Male
560,437,8,7.59,Male
561,531,57,8.0,Female
562,762,43,7.18,Male
563,992,222,7.35,Male
566,517,0,5.22,Male
569,244,13,6.04,Male
570,148,25,6.98,Male
572,881,21,7.08,Male
573,535,35,7.67,Male
576,320,34,7.12,Male
578,238,24,6.17,Male
579,168,32,6.35,Male
581,849,14,6.42,Male
582,204,91,6.14,Male
584,465,2,7.87,Female
586,190,1,9.97,Female
589,491,63,6.56,Male
592,78,5,7.58,Male
593,293,11,7.51,Male
594,317,10,6.98,Male
596,85,1,7.52,Female
598,116,5,7.97,Female
599,495,65,5.09,Male
600,723,51,6.23,Female
601,391,0,8.04,Male
602,374,8,7.52,Female
604,115,8,6.48,Male
606,174,11,7.99,Male
609,132,1,7.25,Male
610,309,22,7.74,Male
611,109,23,6.82,Male
612,988,66,5.5,Male
613,90,26,6.07,Male
614,88,13,7.4,Male
616,165,22,7.9,Male
618,286,0,7.43,Male
619,202,101,6.31,Male
620,77,4,8.7,Male
622,485,27,6.19,Male
624,242,0,8.65,Male
626,98,6,7.63,Male
628,482,11,7.81,Male
629,288,3,7.57,Male
630,778,0,7.29,Female
634,356,13,6.61,Male
635,767,0,7.6,Male
636,358,4,6.96,Male
638,63,31,6.68,Male
639,140,9,7.5,Male
640,524,7,7.44,Male
641,820,0,6.77,Male
642,199,51,6.5,Male
643,161,12,8.37,Male
644,997,45,7.33,Male
645,419,88,6.98,Male
646,400,3,6.97,Male
647,561,7,7.6,Male
648,362,106,7.72,Female
649,837,18,6.69,Male
650,161,1,6.14,Male
653,769,37,7.92,Male
654,712,0,7.7,Male
655,232,49,7.6,Male
659,816,39,6.66,Male
660,945,30,7.12,Male
661,122,3,7.98,Male
663,226,13,8.22,Female
664,414,87,7.04,Female
668,471,39,7.18,Male
669,94,4,7.75,Male
670,169,45,7.4,Male
671,568,47,6.82,Male
673,710,10,5.52,Male
674,70,0,8.53,Male
676,708,65,6.81,Male
680,162,9,8.02,Female
